Timestamp,Temperature (°C)
2025-01-01 00:00:00,-7.421592980935467
2025-01-01 00:15:00,-7.789700319348639
2025-01-01 00:30:00,-6.701143289562168
2025-01-01 00:45:00,-5.612274002443462
2025-01-01 01:00:00,-6.320769173101823
2025-01-01 01:15:00,-7.439611273565007
2025-01-01 01:30:00,-6.543320457882172
2025-01-01 01:45:00,-6.698490868893005
2025-01-01 02:00:00,-5.8137106753293954
2025-01-01 02:15:00,-8.143629826917754
2025-01-01 02:30:00,-4.469341441709364
2025-01-01 02:45:00,-5.720680228113185
2025-01-01 03:00:00,-5.008010482215496
2025-01-01 03:15:00,-4.216877812407832
2025-01-01 03:30:00,-6.410185578210824
2025-01-01 03:45:00,-5.079233022747713
2025-01-01 04:00:00,-5.881382853699506
2025-01-01 04:15:00,-3.1526129022058664
2025-01-01 04:30:00,-3.0461588390604093
2025-01-01 04:45:00,-4.217236397924152
2025-01-01 05:00:00,-2.6963289343302277
2025-01-01 05:15:00,-1.6053837079665585
2025-01-01 05:30:00,-1.957687796873004
2025-01-01 05:45:00,-1.094335440088548
2025-01-01 06:00:00,-1.4988792112592035
2025-01-01 06:15:00,-0.8495933581453576
2025-01-01 06:30:00,-1.4552488263589938
2025-01-01 06:45:00,0.2904569664589123
2025-01-01 07:00:00,0.08998195721640606
2025-01-01 07:15:00,0.8308234246963084
2025-01-01 07:30:00,-0.20893268853570546
2025-01-01 07:45:00,2.6042478204068424
2025-01-01 08:00:00,1.3291530622464378
2025-01-01 08:15:00,0.3035191207855563
2025-01-01 08:30:00,3.0186468664273516
2025-01-01 08:45:00,5.457372070867839
2025-01-01 09:00:00,2.470477783875583
2025-01-01 09:15:00,4.989689437837747
2025-01-01 09:30:00,4.990838957613636
2025-01-01 09:45:00,3.7830244553687513
2025-01-01 10:00:00,2.939713053262606
2025-01-01 10:15:00,4.821879959320027
2025-01-01 10:30:00,4.325590259559497
2025-01-01 10:45:00,4.45852915580965
2025-01-01 11:00:00,5.706160171302491
2025-01-01 11:15:00,3.898171072188042
